# schema-name	version	owner	object-kind	compatibility-gates
crucible.content-envelope	1	crucible-cas::content_envelope	envelope	gate:content-address,gate:campaign-store-equivalence
crucible.campaign.choice-group	1	crucible-campaign::object	campaign-fact	gate:typed-choice,gate:content-address
crucible.campaign.selection	1	crucible-campaign::object	campaign-fact	gate:typed-choice,gate:content-address
crucible.campaign.merkle-node	1	crucible-campaign::merkle	merkle-node	gate:campaign-model,gate:content-address
crucible.campaign.candidate-generator-spec	1	crucible-campaign::object	policy	gate:lazy-frontier,gate:content-address
crucible.campaign.scenario-artifact	1	crucible-campaign::artifact	scenario	gate:campaign-model,gate:content-address
crucible.campaign.configuration-artifact	1	crucible-campaign::artifact	configuration	gate:campaign-model,gate:content-address
crucible.campaign.branch-request	1	crucible-campaign::exploration	campaign-fact	gate:branch-point-model,gate:content-address
crucible.campaign.proposal	1	crucible-campaign::exploration	campaign-fact	gate:lazy-frontier,gate:content-address
crucible.campaign.branch-path	2	crucible-campaign::exploration	campaign-fact	gate:campaign-replay,gate:content-address
crucible.campaign.attempt	1	crucible-campaign::exploration	campaign-fact	gate:attempt-idempotence,gate:content-address
crucible.campaign.attempt-admission	1	crucible-campaign::exploration	campaign-fact	gate:attempt-idempotence,gate:content-address
crucible.campaign.planner-step	4	crucible-campaign::exploration	campaign-fact	gate:component-contract,gate:content-address
crucible.campaign.planner-step-proposal	1	crucible-campaign::exploration	component-message	gate:component-contract
crucible.campaign.planner-submission	1	crucible-campaign::authority	component-message	gate:component-contract
crucible.campaign.planner-request	1	crucible-campaign::planner_service	component-message	gate:component-contract
crucible.campaign.planner-response	1	crucible-campaign::planner_service	component-message	gate:component-contract
crucible.campaign.retained-planner-request	1	crucible-campaign::object	policy	gate:component-contract,gate:content-address
crucible.campaign.debugger-submission	1	crucible-campaign::authority	component-message	gate:component-contract
crucible.campaign.submit-attempt-request	2	crucible-campaign::execution	component-message	gate:component-contract
crucible.campaign.submit-attempt-response	2	crucible-campaign::execution	component-message	gate:component-contract
crucible.campaign.get-attempt-execution-request	2	crucible-campaign::execution	component-message	gate:component-contract
crucible.campaign.get-attempt-execution-response	2	crucible-campaign::execution	component-message	gate:component-contract
crucible.campaign.cancel-attempt-execution-request	2	crucible-campaign::execution	component-message	gate:component-contract
crucible.campaign.cancel-attempt-execution-response	2	crucible-campaign::execution	component-message	gate:component-contract
crucible.campaign.checkpoint-attempt-execution-request	2	crucible-campaign::execution	component-message	gate:component-contract
crucible.campaign.checkpoint-attempt-execution-response	2	crucible-campaign::execution	component-message	gate:component-contract
crucible.campaign.describe-executor-request	1	crucible-campaign::executor_capability	component-message	gate:component-contract
crucible.campaign.executor-description	1	crucible-campaign::executor_capability	component-message	gate:component-contract
crucible.campaign.watch-executor-capacity-request	1	crucible-campaign::executor_capability	component-message	gate:component-contract
crucible.campaign.executor-capacity-report	1	crucible-campaign::executor_capability	component-message	gate:component-contract
crucible.campaign.create-campaign-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.create-campaign-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.derive-campaign-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.derive-campaign-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.get-campaign-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.get-campaign-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.get-campaign-snapshot-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.get-campaign-snapshot-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.watch-campaign-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.watch-campaign-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.query-campaign-graph-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.query-campaign-graph-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.get-campaign-graph-object-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.get-campaign-graph-object-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.query-campaign-choices-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.query-campaign-choices-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.query-campaign-frontier-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.query-campaign-frontier-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.get-campaign-frontier-object-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.get-campaign-frontier-object-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.get-campaign-choice-object-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.get-campaign-choice-object-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.apply-campaign-command-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.apply-campaign-command-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.pin-campaign-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.pin-campaign-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.submit-campaign-branch-request	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.submit-campaign-branch-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.service-error-response	1	crucible-campaign::campaign_service	component-message	gate:component-contract
crucible.campaign.gc-plan	1	crucible-daemon::campaign_gc	administrative-record	gate:campaign-store-composition
crucible.campaign.gc-root-manifest	1	crucible-daemon::campaign_gc	administrative-record	gate:campaign-store-composition
crucible.campaign.gc-candidate-manifest	1	crucible-daemon::campaign_gc	administrative-record	gate:campaign-store-composition
crucible.campaign.gc-journal-state	1	crucible-daemon::campaign_gc	administrative-record	gate:campaign-store-composition
crucible.executor.assignment-record	1	crucible-daemon::assignment_ledger	operational-record	gate:component-contract
crucible.executor.attempt-state-record	3	crucible-daemon::assignment_ledger	operational-record	gate:component-contract
crucible.executor.assignment-retention-state	1	crucible-daemon::assignment_ledger	administrative-record	gate:campaign-store-composition
crucible.qemu.vm-snapshot	2	crucible-qemu::realization	device-state	gate:content-address,gate:exact-closure-streaming
crucible.qemu.vmstate	1	crucible-daemon::exact_checkpoint_store	device-state	gate:content-address,gate:exact-closure-streaming
crucible.executor.exact-checkpoint-root	2	crucible-daemon::exact_checkpoint_store	exact-manifest	gate:content-address,gate:exact-closure-streaming
crucible.executor.loopback-frame	4	crucible-daemon::executor_loopback	component-message	gate:component-contract
crucible.planner.loopback-frame	1	crucible-daemon::planner_loopback	component-message	gate:component-contract
crucible.campaign.loopback-frame	13	crucible-daemon::campaign_loopback	component-message	gate:component-contract
crucible.executor.crucible-scenario-payload	1	crucible-daemon::crucible_artifact	execution-model-payload	gate:component-contract,gate:campaign-replay
crucible.executor.crucible-configuration-payload	2	crucible-daemon::crucible_artifact	execution-model-payload	gate:component-contract,gate:campaign-replay
crucible.execution.schedule	2	crucible::model	execution-model-payload	gate:typed-choice,gate:campaign-replay
crucible.execution.selection-decision	1	crucible::model	execution-model-payload	gate:typed-choice,gate:campaign-replay
crucible.execution.checkpoint	4	crucible::model	checkpoint	gate:typed-choice,gate:campaign-replay
crucible.campaign.expansion-state	2	crucible-campaign::exploration	projection	gate:lazy-frontier,gate:content-address
crucible.campaign.continuation-projection	1	crucible-campaign::exploration	projection	gate:lazy-frontier,gate:content-address
crucible.campaign.expansion-credit	1	crucible-campaign::exploration	campaign-fact	gate:lazy-frontier,gate:campaign-replay,gate:content-address
crucible.campaign.measurement-set	1	crucible-campaign::observation	observation	gate:campaign-replay,gate:content-address
crucible.campaign.property-verdict-set	1	crucible-campaign::observation	observation	gate:campaign-replay,gate:content-address
crucible.campaign.coverage-projection	1	crucible-campaign::observation	projection	gate:campaign-replay,gate:content-address
crucible.campaign.observation	1	crucible-campaign::observation	observation	gate:attempt-idempotence,gate:campaign-replay,gate:content-address
