# Requirement ID	Implementing tasks	Executable gates
CMOD-15	T-CAM-3.4,T-CAM-4.5	gate:campaign-component-contract,gate:campaign-replay
CMOD-16	T-CAM-1.5	gate:campaign-model
CMOD-17	T-CAM-2.2,T-CAM-4.2	gate:typed-choice,gate:branch-point-model
CMOD-18	T-CAM-1.1,T-CAM-4.6	gate:campaign-model,gate:attempt-idempotence
CMOD-19	T-CAM-1.1,T-CAM-4.6	gate:campaign-model,gate:attempt-idempotence
CMOD-20	T-CAM-1.4,T-CAM-4.6	gate:campaign-cold-continuity,gate:attempt-idempotence
CMOD-21	T-CAM-1.4,T-CAM-8.1	gate:campaign-model
CMOD-22	T-CAM-1.4,T-CAM-8.1	gate:campaign-model
CMOD-23	T-CAM-4.2	gate:branch-point-model
CMOD-24	T-CAM-4.2	gate:branch-point-model
CMOD-25	T-CAM-4.2,T-CAM-7.5	gate:branch-point-model,gate:hot-fork-equivalence
CMOD-26	T-CAM-4.2,T-CAM-7.5	gate:branch-point-model,gate:hot-fork-equivalence
CMOD-27	T-CAM-4.1	gate:lazy-frontier,gate:branch-point-model
CMOD-28	T-CAM-4.2,T-CAM-4.6	gate:attempt-idempotence,gate:branch-point-model
CMOD-29	T-CAM-3.4,T-CAM-4.6	gate:campaign-statistics,gate:campaign-model
CMOD-30	T-CAM-2.2,T-CAM-4.2	gate:typed-choice,gate:branch-point-model
SEL-1	T-CAM-2.1,T-CAM-2.2	gate:typed-choice
SEL-2	T-CAM-2.1,T-CAM-2.2	gate:typed-choice
SEL-3	T-CAM-2.3	gate:typed-choice,gate:e2e-determinism
SEL-4	T-CAM-2.1,T-CAM-2.2	gate:typed-choice,gate:content-address
SEL-5	T-CAM-2.1,T-CAM-2.2	gate:typed-choice,gate:content-address
SEL-6	T-CAM-2.1,T-CAM-2.2	gate:typed-choice,gate:content-address
SEL-7	T-CAM-2.1,T-CAM-2.2	gate:typed-choice,gate:content-address
SEL-8	T-CAM-2.2,T-CAM-4.1	gate:typed-choice,gate:lazy-frontier
SEL-9	T-CAM-2.2,T-CAM-2.3	gate:typed-choice,gate:e2e-determinism
SEL-10	T-CAM-2.2,T-CAM-2.3	gate:typed-choice,gate:e2e-determinism
SEL-11	T-CAM-2.2,T-CAM-2.3	gate:typed-choice,gate:e2e-determinism
SEL-12	T-CAM-2.2,T-CAM-2.3	gate:typed-choice,gate:e2e-determinism
SEL-13	T-CAM-2.2,T-CAM-2.3	gate:typed-choice,gate:e2e-determinism
SEL-14	T-CAM-2.5	gate:typed-choice,gate:typed-choice-product-checkpoint
SEL-15	T-CAM-2.5	gate:typed-choice,gate:typed-choice-product-checkpoint
SEL-16	T-CAM-2.4,T-CAM-2.5	gate:abi-conformance,gate:typed-choice-product-checkpoint
SEL-17	T-CAM-2.4,T-CAM-2.5	gate:abi-conformance,gate:typed-choice-product-checkpoint
SEL-18	T-CAM-2.3	gate:typed-choice,gate:e2e-determinism
SEL-19	T-CAM-2.2,T-CAM-2.6	gate:typed-choice,gate:branch-point-model
SEL-20	T-CAM-2.4	gate:abi-conformance,gate:typed-choice
SEL-21	T-CAM-2.2,T-CAM-4.2	gate:typed-choice,gate:branch-point-model
GUIDE-1	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-replay
GUIDE-2	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-replay
GUIDE-3	T-CAM-4.1	gate:lazy-frontier
GUIDE-4	T-CAM-4.1	gate:lazy-frontier
GUIDE-5	T-CAM-4.3,T-CAM-4.4	gate:lazy-frontier,gate:campaign-statistics
GUIDE-6	T-CAM-4.3,T-CAM-4.4	gate:lazy-frontier,gate:campaign-statistics
GUIDE-7	T-CAM-4.3,T-CAM-4.4	gate:lazy-frontier,gate:campaign-statistics
GUIDE-8	T-CAM-3.4,T-CAM-4.3	gate:campaign-statistics,gate:campaign-replay
GUIDE-9	T-CAM-3.4,T-CAM-4.3	gate:campaign-statistics,gate:campaign-replay
GUIDE-10	T-CAM-3.4,T-CAM-4.3	gate:campaign-statistics,gate:campaign-replay
GUIDE-11	T-CAM-3.1,T-CAM-3.4	gate:campaign-model,gate:campaign-statistics
GUIDE-12	T-CAM-3.4	gate:campaign-statistics
GUIDE-13	T-CAM-3.4	gate:campaign-statistics
GUIDE-14	T-CAM-4.7	gate:lazy-frontier
GUIDE-15	T-CAM-3.4,T-CAM-4.3	gate:campaign-statistics
GUIDE-16	T-CAM-3.4,T-CAM-4.3	gate:campaign-statistics
GUIDE-17	T-CAM-3.4,T-CAM-4.6	gate:campaign-statistics,gate:campaign-replay
GUIDE-18	T-CAM-3.4,T-CAM-4.6	gate:campaign-statistics,gate:campaign-replay
GUIDE-19	T-CAM-4.3	gate:campaign-replay
GUIDE-20	T-CAM-3.5	gate:campaign-replay
GUIDE-21	T-CAM-4.1,T-CAM-4.2	gate:lazy-frontier,gate:branch-point-model
GUIDE-22	T-CAM-4.1,T-CAM-4.2	gate:lazy-frontier,gate:branch-point-model
GUIDE-23	T-CAM-3.4,T-CAM-4.3	gate:campaign-statistics,gate:campaign-replay
GUIDE-24	T-CAM-3.4,T-CAM-4.3	gate:campaign-statistics,gate:campaign-replay
GUIDE-25	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-statistics
GUIDE-26	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-statistics
GUIDE-27	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-statistics
GUIDE-28	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-statistics
GUIDE-29	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-statistics
GUIDE-30	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-statistics
GUIDE-31	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-statistics
GUIDE-32	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-statistics
LAZY-1	T-CAM-4.1,T-CAM-4.4	gate:lazy-frontier
LAZY-2	T-CAM-4.1,T-CAM-4.4	gate:lazy-frontier
LAZY-3	T-CAM-4.1,T-CAM-4.4	gate:lazy-frontier
LAZY-4	T-CAM-4.1,T-CAM-4.4	gate:lazy-frontier
LAZY-5	T-CAM-4.5	gate:control-responsiveness,gate:lazy-frontier
LAZY-6	T-CAM-4.5	gate:control-responsiveness,gate:lazy-frontier
LAZY-7	T-CAM-4.9	gate:campaign-component-contract
LAZY-8	T-CAM-4.5	gate:control-responsiveness
LAZY-9	T-CAM-4.5,T-CAM-4.6	gate:attempt-idempotence,gate:campaign-cold-continuity
LAZY-10	T-CAM-4.5,T-CAM-4.6	gate:attempt-idempotence,gate:campaign-cold-continuity
LAZY-11	T-CAM-4.3,T-CAM-4.6	gate:campaign-statistics,gate:attempt-idempotence
LAZY-12	T-CAM-4.6	gate:attempt-idempotence,gate:campaign-replay
LAZY-13	T-CAM-4.6	gate:campaign-replay,gate:attempt-idempotence
LAZY-14	T-CAM-4.6	gate:campaign-replay,gate:attempt-idempotence
LAZY-15	T-CAM-7.5,T-CAM-8.2	gate:hot-fork-equivalence
LAZY-16	T-CAM-4.9	gate:campaign-component-contract
LAZY-17	T-CAM-4.9	gate:campaign-component-contract
LAZY-18	T-CAM-1.4,T-CAM-4.6	gate:campaign-cold-continuity,gate:attempt-idempotence
LAZY-19	T-CAM-4.1,T-CAM-4.2	gate:lazy-frontier,gate:branch-point-model
LAZY-20	T-CAM-4.1,T-CAM-4.2	gate:lazy-frontier,gate:branch-point-model
LAZY-21	T-CAM-4.1,T-CAM-4.2	gate:lazy-frontier,gate:branch-point-model
LAZY-22	T-CAM-4.2	gate:lazy-frontier,gate:attempt-idempotence
LAZY-23	T-CAM-4.2	gate:lazy-frontier,gate:attempt-idempotence
LAZY-24	T-CAM-4.2	gate:lazy-frontier,gate:attempt-idempotence
LAZY-25	T-CAM-4.2,T-CAM-4.6	gate:attempt-idempotence
LAZY-26	T-CAM-4.2,T-CAM-4.6	gate:attempt-idempotence
LAZY-27	T-CAM-4.2,T-CAM-4.6	gate:attempt-idempotence
LAZY-28	T-CAM-4.2,T-CAM-4.6	gate:attempt-idempotence
LAZY-29	T-CAM-4.1,T-CAM-4.2	gate:lazy-frontier,gate:branch-point-model
LAZY-30	T-CAM-4.1,T-CAM-4.2	gate:lazy-frontier,gate:branch-point-model
LAZY-31	T-CAM-4.1,T-CAM-4.2	gate:lazy-frontier,gate:branch-point-model
LAZY-32	T-CAM-4.1,T-CAM-4.2	gate:lazy-frontier,gate:branch-point-model
LAZY-33	T-CAM-4.1,T-CAM-4.2	gate:lazy-frontier,gate:branch-point-model
LAZY-34	T-CAM-4.1,T-CAM-4.2	gate:lazy-frontier,gate:branch-point-model
LAZY-35	T-CAM-4.6	gate:attempt-idempotence,gate:campaign-replay
LAZY-36	T-CAM-4.6	gate:attempt-idempotence,gate:campaign-replay
LAZY-37	T-CAM-4.6	gate:attempt-idempotence,gate:campaign-replay
LAZY-38	T-CAM-4.6	gate:attempt-idempotence,gate:campaign-replay
LAZY-39	T-CAM-4.6	gate:attempt-idempotence,gate:campaign-replay
LAZY-40	T-CAM-4.5,T-CAM-4.6	gate:control-responsiveness,gate:attempt-idempotence
LAZY-41	T-CAM-4.5,T-CAM-4.6	gate:control-responsiveness,gate:attempt-idempotence
LAZY-42	T-CAM-4.2,T-CAM-4.6	gate:attempt-idempotence,gate:campaign-replay
LAZY-43	T-CAM-4.2,T-CAM-4.6	gate:attempt-idempotence,gate:campaign-replay
LAZY-44	T-CAM-4.2,T-CAM-4.6	gate:attempt-idempotence,gate:campaign-replay
LAZY-45	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-statistics
LAZY-46	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-statistics
LAZY-47	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-statistics
LAZY-48	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-statistics
LAZY-54	T-CAM-4.1,T-CAM-4.3	gate:lazy-frontier,gate:campaign-statistics
CCOMP-1	T-CAM-4.9	gate:campaign-component-contract
CCOMP-2	T-CAM-4.9	gate:campaign-component-contract
CCOMP-3	T-CAM-4.5,T-CAM-4.9	gate:campaign-component-contract,gate:campaign-replay
CCOMP-4	T-CAM-4.9	gate:campaign-component-contract
CCOMP-5	T-CAM-4.9	gate:campaign-component-contract
CCOMP-6	T-CAM-4.9	gate:campaign-component-contract,gate:abi-conformance
CCOMP-7	T-CAM-4.9	gate:campaign-component-contract,gate:abi-conformance
CCOMP-8	T-CAM-4.9	gate:campaign-component-contract,gate:abi-conformance
CCOMP-9	T-CAM-4.9	gate:campaign-component-contract,gate:abi-conformance
CCOMP-10	T-CAM-4.9,T-CAM-8.1	gate:campaign-component-contract
CCOMP-11	T-CAM-4.9,T-CAM-8.1	gate:campaign-component-contract
CCOMP-12	T-CAM-4.9	gate:campaign-component-contract,gate:campaign-replay
CCOMP-13	T-CAM-4.9	gate:campaign-component-contract,gate:campaign-replay
CCOMP-14	T-CAM-4.9	gate:campaign-component-contract,gate:campaign-replay
CCOMP-15	T-CAM-4.9	gate:campaign-component-contract,gate:campaign-replay
CCOMP-16	T-CAM-4.9	gate:campaign-component-contract,gate:attempt-idempotence
CCOMP-17	T-CAM-4.9	gate:campaign-component-contract,gate:attempt-idempotence
CCOMP-18	T-CAM-4.6,T-CAM-4.9	gate:attempt-idempotence,gate:campaign-component-contract
CCOMP-19	T-CAM-4.6,T-CAM-4.9	gate:attempt-idempotence,gate:campaign-component-contract
CCOMP-20	T-CAM-4.9	gate:campaign-component-contract,gate:campaign-cold-continuity
CCOMP-21	T-CAM-4.9	gate:campaign-component-contract,gate:campaign-cold-continuity
CCOMP-22	T-CAM-4.9	gate:campaign-component-contract,gate:campaign-cold-continuity
CCOMP-23	T-CAM-4.9	gate:campaign-component-contract
CCOMP-24	T-CAM-4.9	gate:campaign-component-contract
HFORK-1	T-CAM-7.3,T-CAM-7.6	gate:hot-fork-equivalence
HFORK-2	T-CAM-7.3,T-CAM-7.6	gate:hot-fork-equivalence
HFORK-3	T-CAM-6.1,T-CAM-7.1	gate:hot-fork-isolation,gate:abi-conformance
HFORK-4	T-CAM-6.1,T-CAM-7.1	gate:hot-fork-isolation,gate:abi-conformance
HFORK-5	T-CAM-6.1,T-CAM-7.1	gate:hot-fork-isolation,gate:abi-conformance
HFORK-6	T-CAM-7.2	gate:hot-fork-isolation,gate:hot-fork-equivalence
HFORK-7	T-CAM-7.2	gate:hot-fork-isolation,gate:hot-fork-equivalence
HFORK-8	T-CAM-6.8,T-CAM-9.5	gate:abi-conformance,gate:license-boundary
HFORK-9	T-CAM-6.4,T-CAM-7.1	gate:hot-fork-isolation
HFORK-10	T-CAM-6.4,T-CAM-7.1	gate:hot-fork-isolation
HFORK-11	T-CAM-7.3,T-CAM-7.4	gate:world-fork-atomicity,gate:hot-fork-isolation
HFORK-12	T-CAM-7.3,T-CAM-7.4	gate:world-fork-atomicity,gate:hot-fork-isolation
HFORK-13	T-CAM-7.3,T-CAM-7.4	gate:world-fork-atomicity,gate:hot-fork-isolation
HFORK-14	T-CAM-7.3,T-CAM-7.4	gate:world-fork-atomicity,gate:hot-fork-isolation
HFORK-15	T-CAM-5.4,T-CAM-7.6	gate:exact-closure-streaming,gate:hot-fork-scaling
HFORK-16	T-CAM-5.3,T-CAM-5.9	gate:campaign-operational-continuity,gate:campaign-store-equivalence
HFORK-17	T-CAM-5.3,T-CAM-5.9	gate:campaign-operational-continuity,gate:campaign-store-equivalence
HFORK-18	T-CAM-5.3,T-CAM-5.9	gate:campaign-operational-continuity,gate:campaign-store-equivalence
HFORK-19	T-CAM-7.6	gate:hot-fork-equivalence
HFORK-20	T-CAM-7.3,T-CAM-7.4	gate:world-fork-atomicity,gate:attempt-idempotence
HFORK-21	T-CAM-6.4,T-CAM-7.1	gate:hot-fork-isolation
HFORK-22	T-CAM-6.4,T-CAM-7.1	gate:hot-fork-isolation
HFORK-23	T-CAM-7.6	gate:hot-fork-equivalence
HFORK-24	T-CAM-7.5	gate:hot-fork-scaling,gate:control-responsiveness
CSTORE-1	T-CAM-5.1,T-CAM-5.9	gate:campaign-store-equivalence,gate:campaign-cold-continuity
CSTORE-2	T-CAM-5.2	gate:content-address
CSTORE-3	T-CAM-5.1	gate:campaign-store-equivalence
CSTORE-4	T-CAM-5.5	gate:campaign-store-composition
CSTORE-5	T-CAM-5.5	gate:campaign-store-composition
CSTORE-6	T-CAM-5.7	gate:campaign-store-equivalence,gate:campaign-store-composition
CSTORE-7	T-CAM-5.7	gate:campaign-store-equivalence,gate:campaign-store-composition
CSTORE-8	T-CAM-5.7	gate:campaign-store-equivalence,gate:campaign-store-composition
CSTORE-9	T-CAM-5.5	gate:campaign-store-composition
CSTORE-10	T-CAM-5.5	gate:campaign-store-composition
CSTORE-11	T-CAM-5.5	gate:campaign-store-composition
CSTORE-12	T-CAM-5.5	gate:campaign-store-composition
CSTORE-13	T-CAM-5.2	gate:content-address,gate:campaign-store-equivalence
CSTORE-14	T-CAM-5.2	gate:content-address,gate:campaign-store-equivalence
CSTORE-15	T-CAM-5.6	gate:campaign-store-equivalence,gate:content-address
CSTORE-16	T-CAM-5.6	gate:campaign-store-equivalence,gate:content-address
CSTORE-17	T-CAM-5.3,T-CAM-5.9	gate:exact-closure-streaming,gate:campaign-operational-continuity
CSTORE-18	T-CAM-5.3,T-CAM-5.9	gate:exact-closure-streaming,gate:campaign-operational-continuity
CSTORE-19	T-CAM-5.9	gate:campaign-store-composition,gate:campaign-operational-continuity
CSTORE-20	T-CAM-5.9	gate:campaign-store-composition,gate:campaign-operational-continuity
CSTORE-21	T-CAM-5.7	gate:campaign-store-equivalence,gate:campaign-store-composition
CSTORE-22	T-CAM-5.7	gate:campaign-store-equivalence,gate:campaign-store-composition
CSTORE-23	T-CAM-5.7	gate:campaign-store-composition,gate:campaign-store-equivalence
CSTORE-24	T-CAM-5.7	gate:campaign-store-composition,gate:campaign-store-equivalence
CSTORE-25	T-CAM-5.7	gate:campaign-store-composition,gate:campaign-store-equivalence
CSTORE-26	T-CAM-5.7	gate:campaign-store-composition,gate:campaign-store-equivalence
CSTORE-27	T-CAM-5.7	gate:campaign-store-composition,gate:campaign-store-equivalence
CSTORE-28	T-CAM-5.7	gate:campaign-store-composition,gate:campaign-store-equivalence
CAPI-1	T-CAM-8.1	gate:campaign-model
CAPI-2	T-CAM-8.1	gate:campaign-model
CAPI-3	T-CAM-8.1	gate:campaign-component-contract
CAPI-4	T-CAM-8.1	gate:campaign-component-contract
CAPI-5	T-CAM-4.9,T-CAM-8.1	gate:campaign-component-contract
CAPI-6	T-CAM-8.2	gate:lazy-frontier
CAPI-7	T-CAM-8.4	gate:campaign-component-contract
CAPI-8	T-CAM-8.2	gate:campaign-cold-continuity
CAPI-9	T-CAM-8.2	gate:campaign-cold-continuity
CAPI-10	T-CAM-8.1	gate:campaign-model
CAPI-11	T-CAM-8.1,T-CAM-8.2	gate:branch-point-model
CAPI-12	T-CAM-8.1,T-CAM-8.2	gate:branch-point-model
CAPI-13	T-CAM-8.1,T-CAM-8.2	gate:branch-point-model
CAPI-14	T-CAM-8.2	gate:campaign-statistics
CMEAS-1	T-CAM-3.1,T-CAM-3.4	gate:campaign-model,gate:campaign-statistics
CMEAS-2	T-CAM-3.1,T-CAM-3.4	gate:campaign-model,gate:campaign-statistics
CMEAS-3	T-CAM-3.1	gate:campaign-model,gate:campaign-replay
CMEAS-4	T-CAM-3.1	gate:campaign-model,gate:campaign-replay
CMEAS-5	T-CAM-3.1	gate:campaign-model,gate:campaign-replay
CMEAS-6	T-CAM-3.2	gate:abi-conformance,gate:campaign-replay
CMEAS-7	T-CAM-3.2	gate:abi-conformance,gate:campaign-replay
CMEAS-8	T-CAM-3.4	gate:campaign-statistics,gate:campaign-replay
CMEAS-9	T-CAM-3.4	gate:campaign-statistics,gate:campaign-replay
CMEAS-10	T-CAM-8.2	gate:campaign-model
CMEAS-11	T-CAM-3.5	gate:campaign-replay
CMEAS-12	T-CAM-3.5	gate:campaign-replay
CMEAS-13	T-CAM-3.5,T-CAM-8.2	gate:campaign-replay
CMEAS-14	T-CAM-3.4,T-CAM-8.2	gate:campaign-model
CSEC-1	T-CAM-1.6,T-CAM-4.9	gate:content-address,gate:campaign-component-contract
CSEC-2	T-CAM-2.4,T-CAM-2.5	gate:typed-choice,gate:abi-conformance
CSEC-3	T-CAM-2.4,T-CAM-2.5	gate:typed-choice,gate:abi-conformance
CSEC-4	T-CAM-4.1,T-CAM-4.9	gate:lazy-frontier,gate:campaign-component-contract
CSEC-5	T-CAM-4.5	gate:control-responsiveness,gate:lazy-frontier
CSEC-6	T-CAM-6.4,T-CAM-7.1	gate:hot-fork-isolation
CSEC-7	T-CAM-6.4,T-CAM-7.1	gate:hot-fork-isolation
CSEC-8	T-CAM-9.5	gate:license-boundary
CSEC-9	T-CAM-1.6,T-CAM-9.5	gate:content-address,gate:abi-conformance
CSEC-10	T-CAM-1.6,T-CAM-9.5	gate:content-address,gate:abi-conformance
CSEC-11	T-CAM-5.7,T-CAM-8.3	gate:campaign-store-equivalence
CSEC-12	T-CAM-4.6,T-CAM-4.9	gate:attempt-idempotence,gate:campaign-replay
CPERF-1	T-CAM-4.1	gate:lazy-frontier
CPERF-2	T-CAM-6.6,T-CAM-7.6	gate:hot-fork-scaling,gate:host-clone-cost
CPERF-3	T-CAM-6.6,T-CAM-7.6	gate:hot-fork-scaling,gate:host-clone-cost
CPERF-4	T-CAM-7.6,T-CAM-9.2	gate:hot-fork-equivalence,gate:hot-fork-isolation,gate:hot-fork-scaling
CPERF-5	T-CAM-5.3	gate:exact-closure-streaming
CPERF-6	T-CAM-4.1	gate:lazy-frontier
CPERF-7	T-CAM-7.6	gate:hot-fork-equivalence
CPERF-8	T-CAM-4.2	gate:branch-point-model,gate:attempt-idempotence
CPERF-9	T-CAM-4.10	gate:campaign-mutation-scaling
